PLAYER,PTS,TREB,AST,BLK,STL,FG%,FT%,3PM,GP,MIN,TO
"P.J. Tucker (MIA - PF,C,SF) ",416,356,115,26,68,0.409,0.78,77,77,"2,350",74
"Matisse Thybulle (PHI - SG,SF) ",386,200,81,87,122,0.441,0.585,57,74,"1,737",55
Tony Bradley (CHI - C) ,383,362,44,45,20,0.634,0.683,1,69,905,48
"Frank Kaminsky III (PHO - C,PF) ",364,176,54,16,13,0.47,0.669,39,61,832,26
"Juan Toscano-Anderson (GSW - SF,PF) ",362,282,171,32,50,0.537,0.716,45,73,"1,315",74
"Jamal Murray (DEN - PG,SG) OUT ",350,67,82,5,20,0.468,0.872,44,19,587,37
"Mike Muscala (OKC - PF,C) ",337,159,37,15,13,0.421,0.873,58,56,800,31
Moses Brown (DAL - C) ,337,581,14,48,25,0.563,0.603,1,57,833,33
"Nerlens Noel (NYK - PF,C) ",337,436,48,121,64,0.622,0.723,0,74,"1,499",76
Goga Bitadze (IND - C) ,326,145,37,79,16,0.474,0.766,24,71,763,29
"Willie Cauley-Stein (FA - PF,C) FA ",316,256,46,38,25,0.616,0.587,1,65,"1,023",33
Robin Lopez (ORL - C) ,314,204,28,29,9,0.58,0.706,8,54,729,35
"Alex Len (SAC - PF,C) ",302,238,27,39,14,0.577,0.635,9,54,737,33
"Kawhi Leonard (LAC - SG,SF,PF) ",296,77,54,5,18,0.477,0.852,24,14,403,27
DeAndre Jordan (LAL - C) ,291,263,44,36,15,0.665,0.68,1,61,784,48
JaVale McGee (PHO - C) ,262,151,27,48,13,0.558,0.618,2,45,593,37
"Gorgui Dieng (FA - PF,C) FA ",244,172,35,20,23,0.511,0.813,22,62,625,31
"Onyeka Okongwu (ATL - PF,C) OUT ",222,182,15,29,20,0.631,0.667,1,45,583,24
"Taj Gibson (NYK - PF,C) ",207,599,28,47,27,0.612,0.747,2,53,743,39
